Disease,Medicine Name,Dosage,Timing
Fungal Infection,clotrimazole,Not specified in source,Not specified in source
Fungal Infection,ketoconazole,Not specified in source,Not specified in source
Fungal Infection,fluconazole,150 mg once weekly,Once daily
Diabetes,Metformin,Not specified in source,Not specified in source
Diabetes,sulfonylureas,Not specified in source,Not specified in source
Diabetes,SGLT2 inhibitors,Not specified in source,Not specified in source
Diabetes,insulin,Not specified in source,Not specified in source
Cancer,Chemotherapy (Generic),Not specified in source,Not specified in source
Dementia,donepezil,Not specified in source,Not specified in source
Dementia,memantine,Not specified in source,Not specified in source
Stroke,Antiplatelets,Not specified in source,Not specified in source
Stroke,statins,Not specified in source,Not specified in source
Stroke,thrombolytics,Not specified in source,Not specified in source
Stroke,anticoagulants,Not specified in source,Not specified in source
Dengue,Supportive care only,Not specified in source,Not specified in source
Dengue,acetaminophen,Not specified in source,Not specified in source
Dysentery,metronidazole,Not specified in source,Not specified in source
Dysentery,tinidazole,Not specified in source,Not specified in source
Chickenpox,Acyclovir,Not specified in source,Not specified in source
Chickenpox,antihistamines,Not specified in source,Not specified in source
Constipation,Stool softeners,Not specified in source,Not specified in source
Constipation,bulk-forming,Not specified in source,Not specified in source
Constipation,osmotic,Not specified in source,Not specified in source
Conjunctivitis,Antibiotic drops,Not specified in source,Not specified in source
Conjunctivitis,artificial tears,Not specified in source,Not specified in source
Smallpox,Supportive care,Not specified in source,Not specified in source
Ringworm,antifungals,Not specified in source,Not specified in source
Ringworm,oral,Not specified in source,Not specified in source
Arthritis,NSAIDs,Not specified in source,Not specified in source
Arthritis,corticosteroids,Not specified in source,Not specified in source
Cholera,doxycycline,Not specified in source,Not specified in source
Cholera,azithromycin,Not specified in source,Not specified in source
Pneumonia,antivirals,Not specified in source,Not specified in source
Malaria,chloroquine,Not specified in source,Not specified in source
Heart Attack,Antiplatelets,Not specified in source,Not specified in source
Heart Attack,statins,Not specified in source,Not specified in source
Heart Attack,beta,Not specified in source,Not specified in source
Heart Attack,ACE inhibitors,Not specified in source,Not specified in source
Deafness,Treat underlying cause,Not specified in source,Not specified in source
Parkinsons,Levodopa/carbidopa,Not specified in source,Not specified in source
Parkinsons,dopamine agonists,Not specified in source,Not specified in source
Parkinsons,MAO-B inhibitors,Not specified in source,Not specified in source
Glaucoma,Eye drops,Not specified in source,Not specified in source
Migraine,Analgesics,Not specified in source,Not specified in source
Migraine,triptans,Not specified in source,Not specified in source
Epilepsy,Antiepileptic drugs,Not specified in source,Not specified in source
Rheumatoid Arthritis,NSAIDs,Not specified in source,Not specified in source
Rheumatoid Arthritis,DMARDs,Not specified in source,Not specified in source
Alzheimer's Disease,Cholinesterase inhibitors,Not specified in source,Not specified in source
Alzheimer's Disease,memantine,Not specified in source,Not specified in source
Multiple Sclerosis,Immunosuppressants,Not specified in source,Not specified in source
Multiple Sclerosis,corticosteroids,Not specified in source,Not specified in source
Multiple Sclerosis,Interferon,Not specified in source,Not specified in source
HIV/AIDS,Antiretroviral therapy (ART),Not specified in source,Not specified in source
Tuberculosis,Antituberculosis drugs,Not specified in source,Not specified in source
Thyroid Disorder,Levothyroxine,Not specified in source,Not specified in source
Hypothyroidism,Levothyroxine,Not specified in source,Not specified in source
Peptic Ulcer,PPIs,Not specified in source,Not specified in source
Peptic Ulcer,H2 blockers,Not specified in source,Not specified in source
Peptic Ulcer,antibiotics,Not specified in source,Not specified in source
AIDS,Antiretroviral therapy (ART),Not specified in source,Not specified in source
Gastroenteritis,Supportive care,Not specified in source,Not specified in source
Bronchial Asthma,Inhaled corticosteroids,Not specified in source,Not specified in source
Bronchial Asthma,bronchodilators,Not specified in source,Not specified in source
High Blood Pressure,ARBs,Not specified in source,Not specified in source
Cervical Spondylosis,NSAIDs,Not specified in source,Not specified in source
Cervical Spondylosis,muscle relaxants,Not specified in source,Not specified in source
Paralysis (Brain Hemorrhage,Supportive care,Not specified in source,Not specified in source
Hepatitis A,Supportive care,Not specified in source,Not specified in source
Hepatitis B,tenofovir,Not specified in source,Not specified in source
Hepatitis B,entecavir,Not specified in source,Not specified in source
Hepatitis C,sofosbuvir,Not specified in source,Not specified in source
Hepatitis C,ledipasvir,Not specified in source,Not specified in source
Hepatitis D,Supportive care,Not specified in source,Not specified in source
Hepatitis E,Supportive care,Not specified in source,Not specified in source
Alcoholic Hepatitis,Corticosteroids,Not specified in source,Not specified in source
Common Cold,Supportive care,Not specified in source,Not specified in source
Common Cold,antipyretics,Not specified in source,Not specified in source
Common Cold,decongestants,Not specified in source,Not specified in source
Dimorphic Hemorrhoids (Piles),Topical ointments,Not specified in source,Not specified in source
Varicose Vein,Compression stockings,Not specified in source,Not specified in source
Varicose Vein,sclerotherapy,Not specified in source,Not specified in source
Hypoglycemia,Glucose tablets,Not specified in source,Not specified in source
Osteoarthritis,NSAIDs,Not specified in source,Not specified in source
Osteoarthritis,topical analgesics,Not specified in source,Not specified in source
(Vertigo) Paroxysmal Positional Vertigo,Epley maneuver,Not specified in source,Not specified in source
(Vertigo) Paroxysmal Positional Vertigo,vestibular rehab,Not specified in source,Not specified in source
(Vertigo) Paroxysmal Positional Vertigo,meclizine,Not specified in source,Not specified in source
Acne,benzoyl peroxide,Not specified in source,Not specified in source
Acne,oral antibiotics,Not specified in source,Not specified in source
Urinary Tract Infection,Antibiotics,Not specified in source,Not specified in source
