Disease,Medications
Fungal Infection,"Topical antifungals (clotrimazole, ketoconazole), oral (fluconazole) if systemic."
Diabetes,"Metformin, sulfonylureas, SGLT2 inhibitors, insulin if needed."
Cancer,"Chemotherapy, radiotherapy, targeted therapy, immunotherapy."
Dementia,"Cholinesterase inhibitors (donepezil), memantine."
Stroke,"Antiplatelets, anticoagulants, statins, thrombolytics if ischemic."
Dengue,"Supportive care only, acetaminophen for fever."
Dysentery,"Antibiotics for bacterial, metronidazole/tinidazole for amoebic."
Chickenpox,"Acyclovir if severe, antihistamines for itching."
Constipation,"Stool softeners, bulk-forming agents, osmotic/stimulant laxatives."
Conjunctivitis,"Antibiotic drops for bacterial, artificial tears for viral, antihistamines for allergic."
Smallpox,"Supportive care, vaccination for prevention."
Ringworm,"Topical antifungals, oral antifungals if widespread."
Arthritis,"NSAIDs, corticosteroids, DMARDs for rheumatoid arthritis."
Cholera,"Antibiotics (doxycycline, azithromycin), supportive care."
Pneumonia,"Antibiotics for bacterial, antivirals if viral, supportive care."
Malaria,"Antimalarials (artemisinin-based therapies, chloroquine)."
Heart Attack,"Antiplatelets, statins, beta-blockers, ACE inhibitors, reperfusion therapy."
Deafness,"Treat underlying cause, hearing aids, cochlear implants."
Parkinsons,"Levodopa/carbidopa, dopamine agonists, MAO-B inhibitors."
Glaucoma,"Eye drops (prostaglandin analogs, beta-blockers), surgery if needed."
Cataract,"Surgical removal, no medications reverse cataract."
Beriberi,Thiamine supplements orally or IV.
Rickets,Vitamin D and calcium supplements.
Rabies,Rabies vaccine and immunoglobulin post-exposure.
Swine Flu,"Antivirals (oseltamivir, zanamivir), supportive care."
Paralysis,"Supportive care, physiotherapy, treat underlying cause."
Epilepsy,"Anticonvulsants (valproate, carbamazepine, levetiracetam)."
Nipah Virus,"Supportive care, no specific antiviral."
Tetanus,"Tetanus antitoxin, antibiotics, vaccination."
Otitis Media,"Antibiotics if bacterial, pain relief (acetaminophen)."
Glossitis,"Treat underlying cause (iron, B12, folate supplements)."
Leprosy,"Multidrug therapy (dapsone, rifampicin, clofazimine)."
Chikungunya,"Supportive care, analgesics for joint pain."
Ulcer,"Proton pump inhibitors, H2 blockers, antibiotics for H. pylori."
Influenza,"Antivirals (oseltamivir, zanamivir), supportive care."
Measles,"Supportive care, vaccination for prevention."
Hemophilia,"Factor replacement therapy, desmopressin for mild cases."
Scurvy,Vitamin C supplements orally or IV.
Pleurisy,"NSAIDs, treat underlying infection."
Pyorrhea,"Antibiotic mouthwash, scaling, root planing."
Trachoma,Antibiotics (azithromycin).
Sinusitis,"Decongestants, antibiotics if bacterial, nasal corticosteroids."
Bronchitis,"Bronchodilators, steroids, antibiotics if bacterial."
Polio,"Supportive care, vaccination for prevention."
Sclerosis,"Immunomodulators (interferons), corticosteroids for flare-ups."
Brain Tumor,"Surgery, chemotherapy, radiotherapy depending on type."
Encephalitis,"Supportive care, antivirals if viral cause (acyclovir)."
CCHFV (Crimean Congo Hemorrhagic Fever),"Supportive care, no specific antiviral."
Leukemia,"Chemotherapy, targeted therapy, bone marrow transplant."
Diphtheria,"Diphtheria antitoxin, antibiotics (penicillin, erythromycin)."
Tuberculosis,"First-line anti-TB drugs (isoniazid, rifampicin, ethambutol, pyrazinamide)."
Typhoid,"Antibiotics (azithromycin, ceftriaxone)."
Jaundice,"Treat underlying cause, supportive care."
Goiter,"Iodine supplementation, treat underlying cause."
Rift Valley Fever,"Supportive care, no specific antiviral."
Allergy,"Antihistamines, corticosteroids, immunotherapy."
GERD,"Antacids, PPIs, H2 blockers."
Chronic Cholestasis,"Ursodeoxycholic acid, treat underlying cause."
Drug Reaction,"Discontinue offending drug, antihistamines, corticosteroids if severe."
Peptic Ulcer,"PPIs, H2 blockers, antibiotics for H. pylori."
AIDS,Antiretroviral therapy (ART).
Gastroenteritis,"Supportive care, antibiotics if bacterial."
Bronchial Asthma,"Inhaled corticosteroids, bronchodilators."
High Blood Pressure,"ACE inhibitors, ARBs, beta-blockers, diuretics."
Migraine,"Analgesics, triptans, preventive meds if frequent."
Cervical Spondylosis,"NSAIDs, muscle relaxants, physiotherapy."
Paralysis (Brain Hemorrhage,"Supportive care, physiotherapy."
Hepatitis A,"Supportive care, vaccination."
Hepatitis B,"Antivirals (tenofovir, entecavir), vaccination."
Hepatitis C,"Direct-acting antivirals (sofosbuvir, ledipasvir)."
Hepatitis D,"Supportive care, treat HBV."
Hepatitis E,Supportive care.
Alcoholic Hepatitis,"Corticosteroids in severe cases, treat complications."
Common Cold,"Supportive care, antipyretics, decongestants."
Dimorphic Hemorrhoids (Piles),"Topical ointments, stool softeners."
Varicose Vein,"Compression stockings, sclerotherapy."
Hypothyroidism,Levothyroxine
Hypoglycemia,"Glucose tablets, fast-acting carbs."
Osteoarthritis,"NSAIDs, topical analgesics."
(Vertigo) Paroxysmal Positional Vertigo,"Epley maneuver, vestibular rehab, meclizine."
Acne,"Topical retinoids, benzoyl peroxide, oral antibiotics for severe cases."
Urinary Tract Infection,"Antibiotics (ciprofloxacin, nitrofurantoin)."
Psoriasis,"Topical corticosteroids, systemic immunomodulators."
Impetigo,"Topical/oral antibiotics (mupirocin, dicloxacillin)."
