Disease,Medicine Name,Dosage,Timing
Fungal infection,Candid Multi-Benefit Skin Cream,Apply twice daily,Apply twice daily
Fungal infection,Fluconazole tablet usp,150 mg once weekly,Once daily
Fungal infection,Terbinafine,To  be prescribed,To  be prescribed
Fungal infection, Topical Clotrimazole,To  be prescribed,To  be prescribed
Fungal infection,Ketoconazole,To  be prescribed,To  be prescribed
Allergy, Allergy Relief Antihistamines Tablet,10 mg daily,At bedtime
Allergy,Sudafed PE or Afrin,60 mg every 4-6 hours,Morning and afternoon
Allergy,Epinephrine injection,0.3 mg injection,Emergency only
Allergy,Corticosteroids,To  be prescribed,To  be prescribed
Allergy,Immunotherapy,To  be prescribed,To  be prescribed
GERD,Prilosec,20 mg once daily,Morning before food
GERD,Omeprazole capsules,20 mg once daily,Morning before food
GERD,"Mylanta, Rolaids",10-20 ml after meals,After meals and at bedtime
GERD,Domperidone,To  be prescribed,To  be prescribed
GERD,Pantoprazole,To  be prescribed,To  be prescribed
Chronic cholestasis,Udiliv Tablet,300 mg twice daily,After meals
Chronic cholestasis,Cholstran,4 g once or twice daily,Before meals
Chronic cholestasis,Ursodeoxycholic acid.,300 mg twice daily,With food
Chronic cholestasis,Corticosteroids,To  be prescribed,To  be prescribed
Chronic cholestasis,Liver transplant,To  be prescribed,To  be prescribed
Drug Reaction,Fexofenadine,180 mg once daily,Morning
Drug Reaction,Epinephrine injection,0.3 mg injection,Emergency only
Drug Reaction,Prednisone,5-10 mg daily,Morning with food
Drug Reaction,Diphenhydramine,To  be prescribed,To  be prescribed
Drug Reaction,Antifungal Cream,To  be prescribed,To  be prescribed
Peptic ulcer disease,Amoxicillin,To  be prescribed,To  be prescribed
Peptic ulcer disease,Omeprazole,20 mg once daily,Morning before food
Peptic ulcer disease,Cimetidine,To  be prescribed,To  be prescribed
Peptic ulcer disease,"Maalox, Mylanta",10-20 ml after meals,After meals and at bedtime
Peptic ulcer disease,Sucralfate ,To  be prescribed,To  be prescribed
AIDS,Emtricitabine,To  be prescribed,To  be prescribed
AIDS,Atazanavir,To  be prescribed,To  be prescribed
AIDS,Raltegravir,To  be prescribed,To  be prescribed
AIDS,Maraviroc,To  be prescribed,To  be prescribed
AIDS,Enfuvirtide,To  be prescribed,To  be prescribed
Diabetes,Lyumjev,To  be prescribed,To  be prescribed
Diabetes,Glumetza,To  be prescribed,To  be prescribed
Diabetes,Glipizide,To  be prescribed,To  be prescribed
Diabetes,Sitagliptin,To  be prescribed,To  be prescribed
Diabetes,Dulaglutide,To  be prescribed,To  be prescribed
Bronchial Asthma,Salmeterol,To  be prescribed,To  be prescribed
Bronchial Asthma,Fluticasone,To  be prescribed,To  be prescribed
Bronchial Asthma,Montelukast,To  be prescribed,To  be prescribed
Bronchial Asthma,Cromolyn and Nedocromi,To  be prescribed,To  be prescribed
Bronchial Asthma,Ipratropium bromide ,To  be prescribed,To  be prescribed
Hypertension,Aldomet Tablets,To  be prescribed,To  be prescribed
Hypertension,Hydrochlorothiazide,To  be prescribed,To  be prescribed
Hypertension,Atenolol,To  be prescribed,To  be prescribed
Hypertension,Benazepril (Lotensin),To  be prescribed,To  be prescribed
Hypertension,Amlodipine (Norvasc),To  be prescribed,To  be prescribed
Migraine,Acetaminophen,To  be prescribed,To  be prescribed
Migraine,zolmitriptan,To  be prescribed,To  be prescribed
Migraine,Dihydroergotamine,To  be prescribed,To  be prescribed
Migraine,Preventive medications,To  be prescribed,To  be prescribed
Migraine,Biofeedback,To  be prescribed,To  be prescribed
Cervical spondylosis,Naproxen,To  be prescribed,To  be prescribed
Cervical spondylosis,Spasdilite EP,To  be prescribed,To  be prescribed
Cervical spondylosis,Physical therapy,To  be prescribed,To  be prescribed
Cervical spondylosis,Neck braces,To  be prescribed,To  be prescribed
Cervical spondylosis,Prednisone or Methylprednisolone,5-10 mg daily,Morning with food
Paralysis (brain hemorrhage),Warfarin ,To  be prescribed,To  be prescribed
Paralysis (brain hemorrhage),Alteplase (Activase) or Tenecteplase (TNKase),To  be prescribed,To  be prescribed
Paralysis (brain hemorrhage),Levetiracetam and Phenytoin,To  be prescribed,To  be prescribed
Paralysis (brain hemorrhage),Physical therapy,To  be prescribed,To  be prescribed
Paralysis (brain hemorrhage),Occupational therapy,To  be prescribed,To  be prescribed
Jaundice,IV fluids,To  be prescribed,To  be prescribed
Jaundice,Blood transfusions,To  be prescribed,To  be prescribed
Jaundice,Liver transplant,To  be prescribed,To  be prescribed
Jaundice,Cholestyramine ,To  be prescribed,To  be prescribed
Jaundice,Entecavir (Baraclude),To  be prescribed,To  be prescribed
Malaria,Artemether-lumefantrine (Coartem),To  be prescribed,To  be prescribed
Malaria,Paracetamol (acetaminophen),To  be prescribed,To  be prescribed
Malaria,Artesunate-Mefloquine,To  be prescribed,To  be prescribed
Malaria,IV fluids,To  be prescribed,To  be prescribed
Malaria,Blood transfusions,To  be prescribed,To  be prescribed
Chicken pox,"Acyclovir (Zovirax, Sitavig)",To  be prescribed,To  be prescribed
Chicken pox,Acetaminophen (like Tylenol),To  be prescribed,To  be prescribed
Chicken pox,IV fluids,To  be prescribed,To  be prescribed
Chicken pox,Blood transfusions,To  be prescribed,To  be prescribed
Chicken pox,Platelet transfusions,To  be prescribed,To  be prescribed
Dengue,Acetaminophen (Tylenol),To  be prescribed,To  be prescribed
Dengue,Antipyretics,To  be prescribed,To  be prescribed
Dengue,Analgesics,To  be prescribed,To  be prescribed
Dengue,IV fluids,To  be prescribed,To  be prescribed
Dengue,Methylprednisolone or Prednisolone,To  be prescribed,To  be prescribed
hepatitis A,Vaccination,To  be prescribed,To  be prescribed
hepatitis A,Antiviral drugs,To  be prescribed,To  be prescribed
hepatitis A,IV fluids,To  be prescribed,To  be prescribed
hepatitis A,Blood transfusions,To  be prescribed,To  be prescribed
hepatitis A,Liver transplant,To  be prescribed,To  be prescribed
Hepatitis B,Antiviral drugs,To  be prescribed,To  be prescribed
Hepatitis B,IV fluids,To  be prescribed,To  be prescribed
Hepatitis B,Blood transfusions,To  be prescribed,To  be prescribed
Hepatitis B,Platelet transfusions,To  be prescribed,To  be prescribed
Hepatitis B,Liver transplant,To  be prescribed,To  be prescribed
Hepatitis C,Antiviral drugs,To  be prescribed,To  be prescribed
Hepatitis C,IV fluids,To  be prescribed,To  be prescribed
Hepatitis C,Blood transfusions,To  be prescribed,To  be prescribed
Hepatitis C,Platelet transfusions,To  be prescribed,To  be prescribed
Hepatitis C,Liver transplant,To  be prescribed,To  be prescribed
Hepatitis D,Antiviral drugs,To  be prescribed,To  be prescribed
Hepatitis D,IV fluids,To  be prescribed,To  be prescribed
Hepatitis D,Blood transfusions,To  be prescribed,To  be prescribed
Hepatitis D,Platelet transfusions,To  be prescribed,To  be prescribed
Hepatitis D,Liver transplant,To  be prescribed,To  be prescribed
Hepatitis E,Alcohol cessation,To  be prescribed,To  be prescribed
Hepatitis E,Corticosteroids,To  be prescribed,To  be prescribed
Hepatitis E,IV fluids,To  be prescribed,To  be prescribed
Hepatitis E,Liver transplant,To  be prescribed,To  be prescribed
Hepatitis E,Nutritional support,To  be prescribed,To  be prescribed
Alcoholic hepatitis,Metronidazole (Flagyl),To  be prescribed,To  be prescribed
Alcoholic hepatitis,Nydrazid,To  be prescribed,To  be prescribed
Alcoholic hepatitis,Rifampin,To  be prescribed,To  be prescribed
Alcoholic hepatitis, Myambutol,To  be prescribed,To  be prescribed
Alcoholic hepatitis,Pyrazinamide,To  be prescribed,To  be prescribed
Common Cold,Azithromycin,To  be prescribed,To  be prescribed
Common Cold,Tamiflu,To  be prescribed,To  be prescribed
Common Cold,Ketoconazole Tablet,To  be prescribed,To  be prescribed
Common Cold,IV fluids,To  be prescribed,To  be prescribed
Common Cold,Oxygen therapy,To  be prescribed,To  be prescribed
Pneumonia,Laxatives,To  be prescribed,To  be prescribed
Pneumonia,Acetaminophen (Tylenol),To  be prescribed,To  be prescribed
Pneumonia,Warm baths,To  be prescribed,To  be prescribed
Pneumonia,Cold compresses,To  be prescribed,To  be prescribed
Pneumonia,High-fiber diet,To  be prescribed,To  be prescribed
Dimorphic hemmorhoids(piles),Rectiv (glyceryl trinitrate),To  be prescribed,To  be prescribed
Dimorphic hemmorhoids(piles),Aspirin,To  be prescribed,To  be prescribed
